title,F,M
Airport (1970),3.2972972972972974,3.105633802816901
Airport 1975 (1974),2.8947368421052637,2.5538461538461537
Akira (1988),3.511111111111111,3.98034398034398
Aladdin (1992),3.8571428571428568,3.7564935064935066
Aladdin and the King of Thieves (1996),2.763888888888889,2.9635036496350367
"Alan Smithee Film: Burn Hollywood Burn, An (1997)",1.0,2.0625
"Alarmist, The (1997)",,2.625
Alaska (1996),3.523809523809524,3.272727272727273
Albino Alligator (1996),2.8823529411764706,2.8441558441558437
Algiers (1938),4.0,3.555555555555556
Alice and Martin (Alice et Martin) (1998),2.6,3.111111111111111
Alice in Wonderland (1951),3.7058823529411766,3.692307692307693
Alien (1979),3.888252148997135,4.2161194029850755
Alien Escape (1995),1.0,2.7222222222222223
Alien Nation (1988),3.433333333333333,3.1959459459459465
Alien: Resurrection (1997),2.70873786407767,2.997041420118343
Aliens (1986),3.8020833333333335,4.18668407310705
Alien³ (1992),3.008264462809917,3.0422885572139298
Alive (1993),3.4693877551020407,3.376865671641791
All About Eve (1950),4.3630573248407645,4.186991869918699
All About My Mother (Todo Sobre Mi Madre) (1999),4.333333333333333,3.944
All Dogs Go to Heaven (1989),2.8552631578947367,2.8776978417266186
All Dogs Go to Heaven 2 (1996),2.4,1.92
All Over Me (1997),3.9166666666666665,3.333333333333333
All Quiet on the Western Front (1930),3.9574468085106393,4.244343891402715
All That Jazz (1979),4.0618556701030935,3.718181818181818
All Things Fair (1996),,3.333333333333333
All the King's Men (1949),4.166666666666667,4.0
All the Rage (a.k.a. It's the Rage) (1999),3.0,3.363636363636364
All the Vermeers in New York (1990),3.3,2.8823529411764706
Allan Quartermain and the Lost City of Gold (1987),1.8636363636363635,2.0869565217391304
"Alley Cats, The (1968)",4.0,
Alligator (1980),1.9166666666666667,2.2624113475177303
"Allnighter, The (1987)",3.0,1.6666666666666667
Almost Famous (2000),4.2202166064981945,4.228730822873082
Almost Heroes (1998),2.0,2.591836734693877
Alphaville (1965),3.2857142857142856,3.3684210526315788
Alvarez Kelly (1966),2.5,3.3846153846153846
Amadeus (1984),4.346733668341709,4.213414634146342
Amateur (1994),3.8461538461538463,3.7647058823529416
"Amazing Panda Adventure, The (1995)",3.6,2.0
American Beauty (1999),4.238900634249472,4.347300564061241
American Buffalo (1996),2.8571428571428568,3.260869565217391
American Dream (1990),3.75,3.7142857142857135
American Flyers (1985),3.611111111111111,3.2658227848101267
American Gigolo (1980),3.3375,3.1069767441860465
American Graffiti (1973),3.940476190476191,4.055555555555555
American History X (1998),4.181818181818182,4.2407407407407405
American Movie (1999),4.028985507246377,4.008849557522123
American Pie (1999),3.5397923875432524,3.7545454545454544
American Pimp (1999),2.555555555555556,3.4423076923076925
American Pop (1981),3.2,3.0515463917525767
"American President, The (1995)",3.9234828496042216,3.7186544342507646
American Psycho (2000),3.085271317829457,3.253493013972056
American Strays (1996),,2.0
"American Tail, An (1986)",3.649253731343284,3.3185185185185184
"American Tail: Fievel Goes West, An (1991)",2.904109589041096,2.7890625
"American Werewolf in London, An (1981)",3.5480769230769234,3.8
"American Werewolf in Paris, An (1997)",2.814814814814815,2.739336492890996
"American in Paris, An (1951)",3.9319727891156466,3.790816326530612
Amistad (1997),3.6704545454545454,3.7338403041825097
Amityville 1992: It's About Time (1992),1.8,1.7037037037037035
Amityville 3-D (1983),1.375,1.3714285714285714
"Amityville Curse, The (1990)",1.6666666666666667,1.8947368421052633
"Amityville Horror, The (1979)",2.9078947368421053,2.946236559139785
Amityville II: The Possession (1982),1.5555555555555556,2.2127659574468086
Amityville: A New Generation (1993),2.0,1.5789473684210529
Amityville: Dollhouse (1996),2.0,1.5625
Among Giants (1998),4.666666666666667,3.333333333333333
Amos & Andrew (1993),2.631578947368421,2.806451612903226
An Unforgettable Summer (1994),,3.0
Anaconda (1997),2.0,2.2484472049689437
Analyze This (1999),3.3392857142857144,3.415178571428572
Anastasia (1997),3.8,3.281609195402299
Anatomy (Anatomie) (2000),3.0,2.571428571428572
Anatomy of a Murder (1959),4.306122448979592,4.206666666666667
Anchors Aweigh (1945),3.7021276595744683,3.571428571428572
And God Created Woman (1988),2.333333333333333,2.392857142857143
And God Created Woman (Et Dieu&#8230;Créa la Femme) (1956),3.555555555555556,3.3157894736842106
And Now for Something Completely Different (1971),4.325581395348837,4.093150684931507
And the Band Played On (1993),4.137254901960786,3.841666666666667
And the Ship Sails On (E la nave va) (1984),4.0,3.1666666666666665
Andre (1994),3.1666666666666665,2.806451612903226
Angel Baby (1995),3.333333333333333,3.216216216216216
Angel Heart (1987),3.270833333333333,3.4403409090909087
Angel and the Badman (1947),3.875,3.302325581395349
Angel on My Shoulder (1946),3.25,3.5
Angela (1995),3.0,5.0
Angela's Ashes (1999),3.4125,3.4137931034482767
Angels and Insects (1995),3.2588235294117647,3.5137614678899083
Angels in the Outfield (1994),3.1625,2.580838323353293
Angus (1995),3.5348837209302326,3.2352941176470584
Animal House (1978),3.62890625,4.167192429022082
Anna (1996),4.0,
Anna Karenina (1997),3.4615384615384617,2.833333333333333
Anna and the King (1999),3.6206896551724137,3.2553191489361697
Anne Frank Remembered (1995),4.0625,4.12
Annie Hall (1977),3.992327365728901,4.2036055143160125
Another Day in Paradise (1998),3.7142857142857135,3.3
Another Man's Poison (1952),,4.0
Another Stakeout (1993),2.5365853658536586,2.4637681159420293
Antonia's Line (Antonia) (1995),4.1395348837209305,3.6304347826086962
Antz (1998),3.4745762711864407,3.4871794871794872
Any Given Sunday (1999),3.0729166666666665,3.13953488372093
Anywhere But Here (1999),3.04,2.8720930232558137
Aparajito (1956),4.666666666666667,3.8571428571428568
"Apartment, The (1960)",4.185483870967742,4.102389078498294
"Ape, The (1940)",2.0,2.2222222222222223
Apocalypse Now (1979),3.955307262569832,4.294884653961885
Apollo 13 (1995),4.0548780487804885,4.080173347778982
"Apostle, The (1997)",3.6640625,3.749271137026239
"Apple Dumpling Gang Rides Again, The (1979)",3.0,2.5647058823529414
"Apple Dumpling Gang, The (1975)",3.02,2.9670329670329667
"Apple, The (Sib) (1998)",4.75,4.6
April Fool's Day (1986),3.36,2.9010989010989015
Apt Pupil (1998),3.088888888888889,3.1126760563380285
Arachnophobia (1990),2.899641577060932,3.0294117647058822
Arguing the World (1996),4.5,3.7777777777777777
"Aristocats, The (1970)",3.5,3.2643678160919536
Arlington Road (1999),3.5126582278481013,3.5021008403361344
Armageddon (1998),3.31,3.1659340659340662
Armed and Dangerous (1986),2.625,2.456140350877193
Army of Darkness (1993),3.6015625,3.8359853121175025
Around the World in 80 Days (1956),3.5961538461538463,3.6036866359447006
"Arrival, The (1996)",2.888888888888889,3.1900826446280988
Arsenic and Old Lace (1944),4.265217391304348,4.117647058823529
"Art of War, The (2000)",2.730769230769231,2.796610169491525
Artemisia (1997),3.6,3.727272727272727
Arthur (1981),3.3486842105263164,3.4581151832460733
As Good As It Gets (1997),3.902654867256637,3.9722222222222223
Ashes of Time (1994),,3.75
"Asphalt Jungle, The (1950)",3.571428571428572,4.008130081300813
Assassination (1987),4.0,2.863636363636364
Assassins (1995),2.8947368421052637,2.850467289719626
Assault on Precinct 13 (1976),3.6,3.5698924731182795
"Assignment, The (1997)",3.571428571428572,3.595238095238096
"Associate, The (1996)",3.5,2.71875
"Astronaut's Wife, The (1999)",2.5789473684210527,2.3862660944206007
Asylum (1972),1.6666666666666667,3.071428571428572
At First Sight (1999),2.6129032258064515,2.9302325581395348
Atlantic City (1980),3.863013698630137,3.8225108225108224
Attack of the Killer Tomatoes! (1980),2.6222222222222222,2.6024844720496896
Audrey Rose (1977),3.294117647058824,3.121212121212121
August (1996),,1.5
Auntie Mame (1958),4.0,3.6808510638297873
Austin Powers: International Man of Mystery (1997),3.4788732394366195,3.781758957654723
Austin Powers: The Spy Who Shagged Me (1999),3.2407932011331444,3.4366327474560587
Autopsy (Macchie Solari) (1975),,1.5
Autumn Sonata (Höstsonaten ) (1978),3.7,3.75
"Autumn Tale, An (Conte d'automne) (1998)",3.761904761904762,3.8846153846153846
Autumn in New York (2000),2.2452830188679247,2.03125
Avalanche (1978),3.0,2.466666666666667
"Avengers, The (1998)",1.915254237288136,2.017467248908297
Awakenings (1990),3.88,3.731868131868132
"Awfully Big Adventure, An (1995)",2.5384615384615383,3.1
Ayn Rand: A Sense of Life (1997),5.0,4.0
B*A*P*S (1997),1.5714285714285714,1.8947368421052633
B. Monkey (1998),3.0,3.6
BASEketball (1998),2.7894736842105257,3.018292682926829
Babe (1995),3.953367875647668,3.8609215017064846
Babe: Pig in the City (1998),3.2303030303030305,3.3184357541899443
Babes in Toyland (1961),3.095238095238096,2.919191919191919
Baby Geniuses (1999),2.0392156862745097,1.5486725663716814
"Baby, The (1973)",,5.0
"Baby-Sitters Club, The (1995)",2.64,2.117647058823529
Baby... Secret of the Lost Legend (1985),2.4444444444444446,2.042105263157895
Babyfever (1994),3.6666666666666665,1.0
"Babysitter, The (1995)",2.24,2.8717948717948723
Bachelor Party (1984),2.890625,3.1925675675675675
"Bachelor, The (1999)",2.634408602150537,2.3899371069182394
Back Stage (2000),,3.0
Back to School (1986),2.8857142857142857,3.2147887323943665
Back to the Future (1985),3.932707355242567,4.00925925925926
Back to the Future Part II (1989),3.1545064377682404,3.391351351351352
Back to the Future Part III (1990),3.13302752293578,3.2677419354838713
Backbeat (1993),3.6,3.5
Backdraft (1991),3.4153005464480874,3.4475218658892133
Bad Boys (1995),3.5625,3.269696969696969
Bad Company (1995),2.5,2.921052631578948
Bad Girls (1994),2.7333333333333334,2.3648648648648654
Bad Lieutenant (1992),2.9047619047619047,3.2466666666666666
Bad Moon (1996),3.0,2.0
"Bad Seed, The (1956)",3.8461538461538463,3.68
Bad Taste (1987),1.8,3.571428571428572
Badlands (1973),4.0566037735849045,4.085106382978723
Bait (2000),2.25,2.8378378378378377
"Ballad of Narayama, The (Narayama Bushiko) (1958)",5.0,3.4285714285714284
"Ballad of Narayama, The (Narayama Bushiko) (1982)",3.0,4.0588235294117645
"Ballad of Ramblin' Jack, The (2000)",3.571428571428572,3.4545454545454546
Balto (1995),3.6428571428571432,3.1126760563380285
"Bamba, La (1987)",3.4875,3.2634408602150535
Bambi (1942),3.7886597938144333,3.713924050632911
Bamboozled (2000),3.375,2.9444444444444446
Bananas (1971),3.808823529411765,3.842105263157895
"Band Wagon, The (1953)",3.787878787878788,3.5
Band of the Hand (1986),1.6666666666666667,2.4242424242424243
Bandit Queen (1994),3.8333333333333335,3.76
Bandits (1997),4.0,3.6
"Bank Dick, The (1940)",3.727272727272727,4.04
Baraka (1992),4.083333333333333,3.8181818181818175
Barb Wire (1996),1.5853658536585369,2.1003861003861
Barbarella (1968),3.072463768115942,3.003154574132492
Barcelona (1994),3.278688524590164,3.571428571428572
"Barefoot Executive, The (1971)",3.272727272727273,2.7931034482758617
Barefoot in the Park (1967),3.77027027027027,3.4789915966386555
Barenaked in America (1999),3.555555555555556,2.652173913043478
Barney's Great Adventure (1998),2.0,1.4193548387096775
Barry Lyndon (1975),3.6486486486486487,3.522727272727273
Basic Instinct (1992),3.387878787878788,3.5853242320819114
"Basketball Diaries, The (1995)",3.6875,3.4887218045112784
Basquiat (1996),3.7948717948717943,3.363636363636364
Bastard Out of Carolina (1996),3.6756756756756763,3.615384615384616
"Bat Whispers, The (1930)",,2.0
"Bat, The (1959)",2.333333333333333,2.8
Batman & Robin (1997),2.52991452991453,2.192229038854806
Batman (1989),3.482638888888889,3.63079615048119
Batman Forever (1995),2.9012345679012346,2.5739837398373986
Batman Returns (1992),2.9800995024875623,2.9759036144578315
Batman: Mask of the Phantasm (1993),3.2857142857142856,3.5980392156862746
Bats (1999),1.8333333333333333,1.8363636363636364
Battle for the Planet of the Apes (1973),2.958333333333333,2.810606060606061
"Battle of the Sexes, The (1959)",4.0,3.5
Battlefield Earth (2000),1.574468085106383,1.616949152542373
"Battleship Potemkin, The (Bronenosets Potyomkin) (1925)",4.02,3.9565217391304346
Battling Butler (1926),5.0,3.2222222222222223
Bay of Blood (Reazione a catena) (1971),1.0,2.0
Beach Party (1963),2.7777777777777777,2.5517241379310347
"Beach, The (2000)",2.62280701754386,2.7313915857605178
Bean (1997),2.761904761904762,2.6645569620253164
"Beans of Egypt, Maine, The (1994)",3.5,4.0
"Bear, The (1988)",3.1555555555555554,3.4461538461538463
Beat the Devil (1954),3.25,3.4482758620689653
"Beautician and the Beast, The (1997)",2.6142857142857143,2.269230769230769
Beautiful (2000),2.272727272727273,2.333333333333333
Beautiful Girls (1996),3.611111111111111,3.8
Beautiful People (1999),3.3,3.363636363636364
Beautiful Thing (1996),3.8333333333333335,4.125
Beauty (1998),,3.0
Beauty and the Beast (1991),4.054945054945056,3.797413793103448
Beavis and Butt-head Do America (1996),2.6373626373626373,3.1354166666666665
Bed of Roses (1996),3.027027027027027,2.891304347826087
Bedknobs and Broomsticks (1971),3.5765765765765765,3.4278846153846154
"Bedroom Window, The (1987)",3.6666666666666665,3.4444444444444446
Bedrooms & Hallways (1998),3.2,3.4375
Beefcake (1999),,2.75
Beetlejuice (1988),3.599462365591398,3.5574354407836157
Before Sunrise (1995),3.6760563380281686,3.9101123595505616
Before and After (1996),2.88,3.071428571428572
Before the Rain (Pred dozhdot) (1994),4.6,4.173913043478262
Being Human (1993),2.7142857142857144,2.4545454545454546
Being John Malkovich (1999),4.1599297012302285,4.113636363636363
Being There (1979),3.9370078740157477,4.0344827586206895
"Believers, The (1987)",2.888888888888889,2.9166666666666665
Belizaire the Cajun (1986),4.2,3.0
"Bell, Book and Candle (1958)",3.8072289156626495,3.7430555555555554
Belle de jour (1967),3.688888888888889,3.739837398373984
"Bells, The (1926)",4.0,5.0
Belly (1998),5.0,3.0
Beloved (1998),3.3720930232558137,2.9672131147540983
Beloved/Friend (Amigo/Amado) (1999),,4.0
Ben-Hur (1959),3.9765625,4.140625
Beneath the Planet of the Apes (1970),2.8076923076923075,2.9680511182108624
Benji (1974),3.224489795918368,2.850467289719626
Benji the Hunted (1987),2.1818181818181817,2.4
Benny & Joon (1993),3.535398230088496,3.3647058823529417
Bent (1997),4.142857142857143,3.3809523809523814
Besieged (L' Assedio) (1998),3.375,3.6
Best Laid Plans (1999),3.333333333333333,3.5
"Best Man, The (1999)",3.022727272727273,3.044776119402985
"Best Man, The (Il Testimone dello sposo) (1997)",4.166666666666667,3.0
Best Men (1997),2.625,2.958333333333333
"Best Years of Our Lives, The (1946)",4.112903225806451,4.126436781609195
Best in Show (2000),4.05607476635514,4.081264108352144
Best of the Best 3: No Turning Back (1995),,1.6470588235294117
Betrayed (1988),3.4545454545454546,3.421875
Better Living (1998),,2.5
Better Living Through Circuitry (1999),3.6666666666666665,3.8461538461538463
Better Off Dead... (1985),3.8190476190476192,3.9509536784741135
Better Than Chocolate (1999),3.655172413793104,3.41025641025641
"Beverly Hillbillies, The (1993)",2.3,2.1666666666666665
Beverly Hills Cop III (1994),2.8653846153846154,2.4433333333333334
Beverly Hills Ninja (1997),2.290322580645161,2.587064676616916
"Bewegte Mann, Der (1994)",,3.888888888888889
Beyond Rangoon (1995),3.56,3.3548387096774195
Beyond Silence (1996),4.125,3.5384615384615383
Beyond the Mat (2000),3.0,3.601694915254237
Beyond the Poseidon Adventure (1979),1.75,1.9666666666666663
Bhaji on the Beach (1993),4.1,3.76
Bicentennial Man (1999),2.9010989010989015,2.9075342465753424
"Bicycle Thief, The (Ladri di biciclette) (1948)",4.407407407407407,4.343434343434343
Big (1988),3.9557291666666665,3.8211382113821135
"Big Blue, The (Le Grand Bleu) (1988)",3.375,3.761904761904762
Big Bully (1996),1.0,2.0
"Big Carnival, The (1951)",3.3,3.9655172413793114
"Big Chill, The (1983)",3.9917012448132785,3.827470686767169
"Big Combo, The (1955)",5.0,3.6
"Big Country, The (1958)",3.363636363636364,3.7115384615384617
Big Daddy (1999),3.125,3.138385502471169
"Big Green, The (1995)",3.0,2.3076923076923075
"Big Hit, The (1998)",2.875,3.109826589595376
"Big Kahuna, The (2000)",3.2625,3.4107142857142856
"Big Lebowski, The (1998)",3.5278969957081543,3.795138888888889
Big Momma's House (2000),2.4242424242424243,2.4489795918367347
Big Night (1996),4.141843971631205,4.074433656957929
"Big One, The (1997)",4.043478260869565,3.9873417721518982
"Big Sleep, The (1946)",4.272,4.324519230769232
"Big Squeeze, The (1996)",,1.8571428571428568
"Big Tease, The (1999)",3.727272727272727,3.0454545454545454
"Big Trees, The (1952)",,3.25
Big Trouble in Little China (1986),2.9879518072289155,3.4850299401197606
Bikini Beach (1964),2.9166666666666665,2.4444444444444446
Billy Madison (1995),3.141025641025641,3.194945848375452
Billy's Holiday (1995),,3.0
Billy's Hollywood Screen Kiss (1997),3.7,3.6607142857142856
Bio-Dome (1996),2.1666666666666665,2.035398230088496
Bird on a Wire (1990),2.731707317073171,2.513618677042801
"Birdcage, The (1996)",3.726890756302521,3.454954954954955
"Birds, The (1963)",3.7460317460317465,3.9301470588235294
Birdy (1984),3.9649122807017534,3.819277108433735
Bitter Moon (1992),3.071428571428572,3.21875
Bitter Sugar (Azucar Amargo) (1996),,3.272727272727273
Bittersweet Motel (2000),5.0,
Black Beauty (1994),3.696969696969697,3.180327868852459
"Black Cat, White Cat (Crna macka, beli macor) (1998)",4.2,3.7777777777777777
"Black Cauldron, The (1985)",3.0943396226415096,3.1904761904761907
Black Dog (1998),2.2,2.3260869565217392
"Black Hole, The (1979)",2.8076923076923075,2.7695167286245352
Black Mask (Hak hap) (1996),3.111111111111111,3.0701754385964914
"Black Sabbath (Tre Volti Della Paura, I) (1963)",3.0,3.3157894736842106
Black Sheep (1996),2.8,2.9745222929936306
Black Sunday (La Maschera Del Demonio) (1960),,2.25
Black Tar Heroin: The Dark End of the Street (1999),4.0,3.25
Black and White (1999),2.8,2.861111111111111
Blackbeard's Ghost (1968),3.7222222222222223,2.8205128205128207
Blackmail (1929),2.5,3.2222222222222223
Blade (1998),3.221311475409836,3.5225618631732165
Blade Runner (1982),4.086538461538462,4.3125
"Blair Witch Project, The (1999)",3.038732394366197,3.0293809024134317
Blame It on Rio (1984),2.4864864864864864,2.768292682926829
Blank Check (1994),2.689655172413793,2.014925373134328
Blast from the Past (1999),3.443661971830986,3.3119266055045866
Blazing Saddles (1974),3.848101265822785,4.100907029478458
Bless the Child (2000),3.2857142857142856,2.4782608695652173
Blind Date (1987),2.392156862745098,2.761006289308176
Blink (1994),2.8421052631578947,3.263157894736842
Bliss (1997),2.8125,2.958333333333333
"Blob, The (1958)",3.0,3.1631205673758864
Blood & Wine (1997),2.5,3.5862068965517233
Blood Beach (1981),3.0,1.65
Blood Feast (1963),2.0,2.7058823529411766
Blood For Dracula (Andy Warhol's Dracula) (1974),2.6,2.677419354838709
"Blood In, Blood Out (a.k.a. Bound by Honor) (1993)",3.0,2.958333333333333
Blood Simple (1984),4.140350877192983,4.235408560311283
"Blood Spattered Bride, The (La Novia Ensangrentada) (1972)",,1.0
Blood and Sand (Sangre y Arena) (1989),,3.0
Blood on the Sun (1945),,3.5
"Blood, Guts, Bullets and Octane (1998)",3.0,2.333333333333333
Bloodsport (1988),3.1875,3.2281553398058254
Bloodsport 2 (1995),1.0,2.0888888888888895
"Bloody Child, The (1996)",,1.0
Blow-Out (La Grande Bouffe) (1973),3.8125,3.7647058823529416
Blown Away (1994),3.1739130434782608,3.1010101010101008
Blowup (1966),3.7321428571428568,3.8315789473684214
"Blue Angel, The (Blaue Engel, Der) (1930)",3.9,3.957142857142857
Blue Chips (1994),2.7777777777777777,2.575757575757576
Blue Collar (1978),3.4,3.5882352941176467
Blue Hawaii (1961),2.9791666666666665,2.7260273972602738
"Blue Lagoon, The (1980)",2.3217391304347825,2.3376623376623376
Blue Sky (1994),3.888888888888889,3.4
Blue Streak (1999),3.2,3.271844660194174
Blue Velvet (1986),3.5350318471337583,3.8350100603621735
Blue in the Face (1995),3.75,3.4782608695652173
Bluebeard (1944),4.0,4.0
Blues Brothers 2000 (1998),2.5744680851063833,2.39344262295082
"Blues Brothers, The (1980)",3.730627306273063,3.9925233644859817
"Boat, The (Das Boot) (1981)",4.133333333333334,4.332549941245594
Bob Roberts (1992),3.7547169811320753,3.728155339805826
Body Heat (1981),3.9439252336448596,4.055415617128464
Body Parts (1991),2.6666666666666665,2.1836734693877546
Body Shots (1999),2.25,2.1724137931034484
"Body Snatcher, The (1945)",3.8,3.4897959183673466
Body Snatchers (1993),3.1,3.0776255707762563
"Bodyguard, The (1992)",2.9949748743718594,2.7962529274004684
Bogus (1996),3.4,2.333333333333333
Boiler Room (2000),3.3217391304347825,3.4926315789473685
Boiling Point (1993),3.4,2.5535714285714284
"Bone Collector, The (1999)",3.4748603351955314,3.3383947939262475
Bonfire of the Vanities (1990),2.5172413793103448,2.3258426966292136
"Bonheur, Le (1965)",3.5,3.75
Bonnie and Clyde (1967),4.064327485380117,4.106796116504855
Boogie Nights (1997),3.763837638376384,3.771295215869312
Boomerang (1992),2.7222222222222223,2.7857142857142856
"Boondock Saints, The (1999)",3.5454545454545454,3.6296296296296298
Bootmen (2000),2.8,1.25
Booty Call (1997),2.6,2.5526315789473686
Born American (1986),,3.8
Born Yesterday (1950),4.097222222222221,4.0
Born to Win (1971),,2.5
"Borrowers, The (1997)",3.2881355932203387,2.9237288135593222
Bossa Nova (1999),3.5,3.3157894736842106
Bottle Rocket (1996),3.6046511627906983,3.923809523809524
Bound (1996),3.664179104477612,3.8721461187214614
Bound for Glory (1976),3.727272727272727,3.702702702702703
Bowfinger (1999),3.2307692307692313,3.2709766162310867
Boxing Helena (1993),2.4035087719298245,2.3486238532110093
"Boy Called Hate, A (1995)",,3.0
"Boy Who Could Fly, The (1986)",3.3538461538461535,3.189189189189189
Boys (1996),1.2,2.0
Boys Don't Cry (1999),4.109154929577465,3.9664310954063606
Boys Life (1995),3.4230769230769234,3.7183098591549295
Boys Life 2 (1997),4.0,3.25
Boys and Girls (2000),2.5454545454545454,2.636363636363636
"Boys from Brazil, The (1978)",3.8717948717948723,3.612121212121212
"Boys of St. Vincent, The (1993)",3.7857142857142856,4.217391304347826
Boys on the Side (1995),3.198019801980198,3.0531914893617023
"Boys, The (1997)",2.0,2.4
Braddock: Missing in Action III (1988),2.1666666666666665,2.16
"Brady Bunch Movie, The (1995)",2.9365079365079363,2.8938356164383565
"Brain That Wouldn't Die, The (1962)",2.4444444444444446,2.5531914893617023
Braindead (1992),1.8888888888888888,3.5737704918032787
Bram Stoker's Dracula (1992),3.2937853107344632,3.361616161616161
"Brandon Teena Story, The (1998)",3.9642857142857135,4.142857142857143
Brassed Off (1996),3.4946236559139785,3.5724137931034483
Braveheart (1995),4.016483516483516,4.2978386926726415
Brazil (1985),4.05625,4.106241699867199
Bread and Chocolate (Pane e cioccolata) (1973),4.1,4.0212765957446805
Breakdown (1997),3.292307692307692,3.4498269896193765
Breaker Morant (1980),4.096774193548387,4.104026845637584
