id;team_fifa_api_id;team_api_id;date;buildUpPlaySpeed;buildUpPlaySpeedClass;buildUpPlayDribbling;buildUpPlayDribblingClass;buildUpPlayPassing;buildUpPlayPassingClass;buildUpPlayPositioningClass;chanceCreationPassing;chanceCreationPassingClass;chanceCreationCrossing;chanceCreationCrossingClass;chanceCreationShooting;chanceCreationShootingClass;chanceCreationPositioningClass;defencePressure;defencePressureClass;defenceAggression;defenceAggressionClass;defenceTeamWidth;defenceTeamWidthClass;defenceDefenderLineClass
19;47;8564;20/9/2013 0:00;48;Balanced;;Little;54;Mixed;Organised;51;Normal;53;Normal;64;Normal;Free Form;48;Medium;49;Press;53;Normal;Cover
20;47;8564;19/9/2014 0:00;48;Balanced;70;Lots;52;Mixed;Organised;66;Normal;36;Normal;75;Lots;Organised;58;Medium;57;Press;49;Normal;Cover
21;47;8564;10/9/2015 0:00;48;Balanced;70;Lots;52;Mixed;Organised;66;Normal;36;Normal;69;Lots;Organised;58;Medium;57;Press;49;Normal;Cover
22;1901;10215;22/2/2010 0:00;30;Slow;;Little;30;Short;Organised;50;Normal;60;Normal;55;Normal;Organised;30;Deep;30;Contain;30;Narrow;Offside Trap
23;1901;10215;22/2/2011 0:00;30;Slow;;Little;50;Mixed;Organised;50;Normal;50;Normal;55;Normal;Organised;30;Deep;45;Press;65;Normal;Cover
24;1901;10215;22/2/2012 0:00;45;Balanced;;Little;44;Mixed;Organised;55;Normal;57;Normal;60;Normal;Organised;52;Medium;38;Press;61;Normal;Cover
25;1901;10215;20/9/2013 0:00;45;Balanced;;Little;44;Mixed;Organised;55;Normal;57;Normal;60;Normal;Organised;52;Medium;38;Press;61;Normal;Cover
26;1901;10215;19/9/2014 0:00;52;Balanced;53;Normal;44;Mixed;Organised;55;Normal;51;Normal;60;Normal;Organised;39;Medium;38;Press;61;Normal;Cover
27;1901;10215;10/9/2015 0:00;53;Balanced;53;Normal;44;Mixed;Organised;55;Normal;51;Normal;60;Normal;Organised;39;Medium;38;Press;61;Normal;Cover
28;650;10217;22/2/2010 0:00;30;Slow;;Little;35;Mixed;Organised;30;Safe;50;Normal;65;Normal;Organised;30;Deep;30;Contain;30;Narrow;Cover
29;650;10217;22/2/2011 0:00;53;Balanced;;Little;53;Mixed;Organised;48;Normal;67;Lots;66;Normal;Organised;46;Medium;62;Press;65;Normal;Cover
30;650;10217;22/2/2012 0:00;38;Balanced;;Little;44;Mixed;Organised;55;Normal;60;Normal;44;Normal;Organised;50;Medium;58;Press;62;Normal;Cover
31;650;10217;20/9/2013 0:00;38;Balanced;;Little;47;Mixed;Organised;55;Normal;55;Normal;44;Normal;Organised;50;Medium;58;Press;52;Normal;Cover
32;650;10217;19/9/2014 0:00;58;Balanced;47;Normal;55;Mixed;Organised;55;Normal;52;Normal;44;Normal;Organised;57;Medium;50;Press;52;Normal;Cover
33;650;10217;10/9/2015 0:00;56;Balanced;40;Normal;66;Mixed;Organised;55;Normal;52;Normal;38;Normal;Organised;40;Medium;50;Press;52;Normal;Cover
34;245;8593;22/2/2010 0:00;30;Slow;;Little;30;Short;Free Form;50;Normal;60;Normal;70;Lots;Organised;30;Deep;30;Contain;30;Narrow;Cover
35;245;8593;22/2/2011 0:00;40;Balanced;;Little;38;Mixed;Free Form;67;Risky;65;Normal;67;Lots;Organised;65;Medium;57;Press;63;Normal;Cover
36;245;8593;22/2/2012 0:00;31;Slow;;Little;33;Short;Organised;39;Normal;64;Normal;46;Normal;Free Form;68;High;65;Press;60;Normal;Cover
37;245;8593;20/9/2013 0:00;35;Balanced;;Little;33;Short;Free Form;39;Normal;52;Normal;46;Normal;Free Form;68;High;65;Press;50;Normal;Cover
38;245;8593;19/9/2014 0:00;40;Balanced;40;Normal;30;Short;Organised;51;Normal;55;Normal;39;Normal;Free Form;64;Medium;53;Press;64;Normal;Cover
39;245;8593;10/9/2015 0:00;35;Balanced;43;Normal;39;Mixed;Organised;58;Normal;55;Normal;30;Little;Free Form;64;Medium;53;Press;59;Normal;Cover
40;1861;9865;22/2/2010 0:00;65;Balanced;;Little;45;Mixed;Organised;45;Normal;45;Normal;70;Lots;Organised;70;High;65;Press;30;Narrow;Cover
41;1861;9865;22/2/2011 0:00;55;Balanced;;Little;53;Mixed;Organised;57;Normal;54;Normal;69;Lots;Organised;58;Medium;68;Double;67;Wide;Cover
42;1861;9865;22/2/2012 0:00;42;Balanced;;Little;70;Long;Organised;57;Normal;54;Normal;40;Normal;Organised;37;Medium;53;Press;45;Normal;Cover
43;1861;9865;20/9/2013 0:00;46;Balanced;;Little;65;Mixed;Organised;57;Normal;54;Normal;40;Normal;Organised;37;Medium;53;Press;45;Normal;Cover
44;1861;9865;19/9/2014 0:00;46;Balanced;41;Normal;65;Mixed;Organised;57;Normal;54;Normal;40;Normal;Organised;37;Medium;53;Press;45;Normal;Cover
45;1861;9865;10/9/2015 0:00;46;Balanced;41;Normal;65;Mixed;Organised;57;Normal;54;Normal;40;Normal;Organised;37;Medium;53;Press;45;Normal;Cover
46;229;8635;22/2/2010 0:00;50;Balanced;;Little;35;Mixed;Organised;70;Risky;50;Normal;60;Normal;Organised;70;High;50;Press;70;Wide;Cover
47;229;8635;22/2/2011 0:00;50;Balanced;;Little;52;Mixed;Free Form;70;Risky;50;Normal;60;Normal;Organised;70;High;50;Press;70;Wide;Offside Trap
48;229;8635;22/2/2012 0:00;52;Balanced;;Little;41;Mixed;Organised;53;Normal;57;Normal;47;Normal;Organised;45;Medium;43;Press;52;Normal;Cover
49;229;8635;20/9/2013 0:00;52;Balanced;;Little;41;Mixed;Organised;68;Risky;67;Lots;47;Normal;Organised;60;Medium;43;Press;65;Normal;Cover
50;229;8635;19/9/2014 0:00;52;Balanced;46;Normal;51;Mixed;Organised;60;Normal;53;Normal;47;Normal;Organised;60;Medium;50;Press;65;Normal;Cover
51;229;8635;10/9/2015 0:00;52;Balanced;46;Normal;51;Mixed;Organised;60;Normal;53;Normal;47;Normal;Organised;53;Medium;50;Press;61;Normal;Cover
52;1530;8121;22/2/2010 0:00;45;Balanced;;Little;35;Mixed;Organised;35;Normal;50;Normal;60;Normal;Organised;30;Deep;55;Press;30;Narrow;Offside Trap
53;1530;8121;22/2/2011 0:00;65;Balanced;;Little;50;Mixed;Organised;50;Normal;65;Normal;65;Normal;Organised;45;Medium;45;Press;50;Normal;Cover
54;1530;8121;22/2/2012 0:00;50;Balanced;;Little;50;Mixed;Organised;52;Normal;52;Normal;48;Normal;Organised;44;Medium;44;Press;51;Normal;Cover
55;1530;8121;20/9/2013 0:00;50;Balanced;;Little;50;Mixed;Organised;52;Normal;52;Normal;48;Normal;Organised;44;Medium;44;Press;51;Normal;Cover
56;1530;8121;19/9/2014 0:00;48;Balanced;61;Normal;50;Mixed;Organised;40;Normal;52;Normal;48;Normal;Organised;44;Medium;44;Press;51;Normal;Cover
57;1530;8121;10/9/2015 0:00;48;Balanced;61;Normal;50;Mixed;Organised;40;Normal;52;Normal;48;Normal;Organised;44;Medium;44;Press;51;Normal;Cover
58;111082;8322;22/2/2010 0:00;30;Slow;;Little;45;Mixed;Organised;45;Normal;35;Normal;70;Lots;Organised;65;Medium;70;Double;70;Wide;Cover
59;111082;8322;22/2/2011 0:00;46;Balanced;;Little;37;Mixed;Organised;33;Safe;62;Normal;52;Normal;Organised;47;Medium;48;Press;45;Normal;Cover
60;111989;108893;22/2/2010 0:00;50;Balanced;;Little;65;Mixed;Organised;30;Safe;35;Normal;30;Little;Organised;30;Deep;50;Press;35;Normal;Cover
61;111989;108893;22/2/2011 0:00;50;Balanced;;Little;65;Mixed;Organised;35;Normal;35;Normal;35;Normal;Organised;25;Deep;45;Press;35;Normal;Cover
62;111989;108893;22/2/2012 0:00;23;Slow;;Little;33;Short;Organised;49;Normal;40;Normal;43;Normal;Organised;44;Medium;32;Contain;36;Normal;Cover
63;111989;108893;20/9/2013 0:00;41;Balanced;;Little;48;Mixed;Organised;58;Normal;40;Normal;43;Normal;Organised;39;Medium;43;Press;58;Normal;Cover
64;111989;108893;19/9/2014 0:00;39;Balanced;48;Normal;54;Mixed;Organised;49;Normal;40;Normal;43;Normal;Organised;44;Medium;53;Press;57;Normal;Cover
65;111989;108893;10/9/2015 0:00;56;Balanced;46;Normal;54;Mixed;Organised;55;Normal;40;Normal;43;Normal;Organised;48;Medium;53;Press;57;Normal;Cover
66;159;9912;22/2/2010 0:00;40;Balanced;;Little;65;Mixed;Organised;45;Normal;70;Lots;50;Normal;Organised;45;Medium;40;Press;50;Normal;Cover
67;159;9912;22/2/2011 0:00;46;Balanced;;Little;58;Mixed;Organised;45;Normal;33;Little;42;Normal;Organised;38;Medium;48;Press;50;Normal;Cover
68;159;9912;19/9/2014 0:00;62;Balanced;49;Normal;55;Mixed;Organised;56;Normal;51;Normal;52;Normal;Organised;36;Medium;54;Press;48;Normal;Cover
69;112513;158085;19/9/2014 0:00;69;Fast;66;Normal;39;Mixed;Organised;55;Normal;59;Normal;46;Normal;Organised;35;Medium;37;Press;37;Normal;Cover
70;112513;158085;10/9/2015 0:00;65;Balanced;66;Normal;39;Mixed;Organised;55;Normal;59;Normal;46;Normal;Organised;37;Medium;39;Press;37;Normal;Cover
71;1;9825;22/2/2010 0:00;66;Balanced;;Little;30;Short;Free Form;30;Safe;45;Normal;35;Normal;Free Form;30;Deep;40;Press;50;Normal;Cover
72;1;9825;22/2/2011 0:00;75;Fast;;Little;40;Mixed;Free Form;40;Normal;45;Normal;65;Normal;Free Form;50;Medium;40;Press;45;Normal;Cover
73;1;9825;22/2/2012 0:00;25;Slow;;Little;32;Short;Organised;41;Normal;34;Normal;30;Little;Free Form;57;Medium;57;Press;52;Normal;Cover
74;1;9825;20/9/2013 0:00;30;Slow;;Little;29;Short;Organised;41;Normal;55;Normal;39;Normal;Free Form;64;Medium;54;Press;52;Normal;Cover
75;1;9825;19/9/2014 0:00;59;Balanced;51;Normal;26;Short;Organised;28;Safe;55;Normal;64;Normal;Free Form;51;Medium;44;Press;52;Normal;Cover
76;1;9825;10/9/2015 0:00;59;Balanced;51;Normal;30;Short;Organised;28;Safe;44;Normal;46;Normal;Free Form;51;Medium;44;Press;52;Normal;Cover
77;2;10252;22/2/2010 0:00;70;Fast;;Little;59;Mixed;Organised;65;Normal;70;Lots;50;Normal;Free Form;30;Deep;70;Double;30;Narrow;Cover
78;2;10252;22/2/2011 0:00;65;Balanced;;Little;50;Mixed;Organised;45;Normal;55;Normal;50;Normal;Organised;35;Medium;45;Press;65;Normal;Cover
79;2;10252;22/2/2012 0:00;67;Fast;;Little;58;Mixed;Organised;44;Normal;60;Normal;56;Normal;Organised;43;Medium;50;Press;52;Normal;Cover
80;2;10252;20/9/2013 0:00;63;Balanced;;Little;59;Mixed;Organised;52;Normal;55;Normal;34;Normal;Organised;39;Medium;41;Press;54;Normal;Cover
81;2;10252;19/9/2014 0:00;66;Balanced;32;Little;72;Long;Organised;63;Normal;48;Normal;56;Normal;Organised;39;Medium;42;Press;52;Normal;Cover
82;2;10252;10/9/2015 0:00;63;Balanced;37;Normal;54;Mixed;Organised;60;Normal;48;Normal;38;Normal;Organised;35;Medium;44;Press;54;Normal;Cover
83;39;8524;22/2/2010 0:00;35;Balanced;;Little;40;Mixed;Organised;35;Normal;30;Little;55;Normal;Organised;30;Deep;30;Contain;55;Normal;Offside Trap
84;39;8524;22/2/2011 0:00;65;Balanced;;Little;50;Mixed;Organised;50;Normal;65;Normal;55;Normal;Organised;45;Medium;55;Press;65;Normal;Cover
85;39;8524;22/2/2012 0:00;40;Balanced;;Little;50;Mixed;Organised;53;Normal;47;Normal;50;Normal;Organised;55;Medium;42;Press;50;Normal;Cover
86;39;8524;20/9/2013 0:00;64;Balanced;;Little;36;Mixed;Organised;38;Normal;49;Normal;51;Normal;Free Form;54;Medium;53;Press;49;Normal;Cover
87;39;8524;19/9/2014 0:00;64;Balanced;45;Normal;37;Mixed;Organised;38;Normal;49;Normal;51;Normal;Organised;36;Medium;66;Press;49;Normal;Cover
88;39;8524;10/9/2015 0:00;64;Balanced;45;Normal;37;Mixed;Organised;38;Normal;49;Normal;51;Normal;Organised;36;Medium;63;Press;49;Normal;Cover
89;448;8315;22/2/2010 0:00;60;Balanced;;Little;45;Mixed;Organised;35;Normal;70;Lots;55;Normal;Organised;30;Deep;70;Double;35;Normal;Cover
90;448;8315;22/2/2011 0:00;70;Fast;;Little;69;Long;Organised;55;Normal;72;Lots;57;Normal;Organised;48;Medium;67;Double;55;Normal;Cover
91;448;8315;22/2/2012 0:00;42;Balanced;;Little;59;Mixed;Organised;36;Normal;78;Lots;59;Normal;Organised;37;Medium;60;Press;68;Wide;Cover
92;448;8315;20/9/2013 0:00;46;Balanced;;Little;38;Mixed;Organised;52;Normal;73;Lots;37;Normal;Free Form;37;Medium;60;Press;68;Wide;Cover
93;448;8315;19/9/2014 0:00;46;Balanced;41;Normal;38;Mixed;Organised;52;Normal;68;Lots;37;Normal;Organised;37;Medium;60;Press;65;Normal;Cover
94;448;8315;10/9/2015 0:00;46;Balanced;46;Normal;39;Mixed;Organised;50;Normal;60;Normal;36;Normal;Free Form;49;Medium;57;Press;50;Normal;Cover
95;240;9906;22/2/2010 0:00;64;Balanced;;Little;30;Short;Free Form;65;Normal;50;Normal;70;Lots;Free Form;70;High;34;Press;55;Normal;Offside Trap
96;240;9906;22/2/2011 0:00;57;Balanced;;Little;54;Mixed;Organised;58;Normal;69;Lots;79;Lots;Organised;58;Medium;48;Press;54;Normal;Cover
97;240;9906;22/2/2012 0:00;47;Balanced;;Little;51;Mixed;Organised;67;Risky;63;Normal;54;Normal;Organised;52;Medium;37;Press;55;Normal;Cover
98;240;9906;20/9/2013 0:00;47;Balanced;;Little;51;Mixed;Organised;70;Risky;65;Normal;54;Normal;Organised;52;Medium;37;Press;55;Normal;Cover
99;240;9906;19/9/2014 0:00;47;Balanced;52;Normal;51;Mixed;Organised;67;Risky;67;Lots;54;Normal;Organised;52;Medium;37;Press;55;Normal;Cover
100;240;9906;10/9/2015 0:00;57;Balanced;50;Normal;50;Mixed;Organised;61;Normal;62;Normal;49;Normal;Organised;49;Medium;42;Press;52;Normal;Cover
101;100409;8406;22/2/2010 0:00;45;Balanced;;Little;45;Mixed;Organised;35;Normal;70;Lots;70;Lots;Organised;45;Medium;55;Press;45;Normal;Cover
102;100409;8406;22/2/2011 0:00;68;Fast;;Little;40;Mixed;Organised;52;Normal;64;Normal;72;Lots;Organised;59;Medium;49;Press;42;Normal;Cover
103;100409;8406;22/2/2012 0:00;55;Balanced;;Little;55;Mixed;Organised;49;Normal;57;Normal;55;Normal;Organised;47;Medium;58;Press;56;Normal;Cover
104;100409;8406;20/9/2013 0:00;40;Balanced;;Little;55;Mixed;Organised;49;Normal;72;Lots;53;Normal;Organised;33;Deep;43;Press;52;Normal;Cover
105;100409;8406;19/9/2014 0:00;62;Balanced;38;Normal;69;Long;Organised;41;Normal;63;Normal;56;Normal;Organised;47;Medium;55;Press;52;Normal;Cover
106;100409;8406;10/9/2015 0:00;59;Balanced;51;Normal;55;Mixed;Organised;49;Normal;62;Normal;55;Normal;Organised;34;Medium;50;Press;59;Normal;Cover
107;57;8583;22/2/2010 0:00;30;Slow;;Little;70;Long;Organised;35;Normal;65;Normal;35;Normal;Organised;30;Deep;55;Press;30;Narrow;Cover
108;57;8583;22/2/2011 0:00;35;Balanced;;Little;65;Mixed;Organised;35;Normal;65;Normal;50;Normal;Organised;35;Medium;45;Press;65;Normal;Cover
109;57;8583;22/2/2012 0:00;64;Balanced;;Little;49;Mixed;Organised;51;Normal;63;Normal;50;Normal;Organised;34;Medium;45;Press;36;Normal;Cover
110;57;8583;20/9/2013 0:00;64;Balanced;;Little;49;Mixed;Organised;51;Normal;63;Normal;50;Normal;Organised;34;Medium;45;Press;41;Normal;Cover
111;57;8583;19/9/2014 0:00;64;Balanced;55;Normal;49;Mixed;Organised;51;Normal;63;Normal;50;Normal;Organised;34;Medium;45;Press;36;Normal;Cover
112;57;8583;10/9/2015 0:00;64;Balanced;55;Normal;49;Mixed;Organised;51;Normal;63;Normal;50;Normal;Organised;34;Medium;45;Press;40;Normal;Cover
113;1906;10229;22/2/2010 0:00;55;Balanced;;Little;45;Mixed;Organised;40;Normal;30;Little;60;Normal;Organised;30;Deep;30;Contain;50;Normal;Cover
114;1906;10229;22/2/2011 0:00;45;Balanced;;Little;31;Short;Organised;45;Normal;74;Lots;66;Normal;Organised;60;Medium;50;Press;65;Normal;Cover
115;1906;10229;22/2/2012 0:00;46;Balanced;;Little;36;Mixed;Organised;47;Normal;48;Normal;52;Normal;Organised;60;Medium;65;Press;59;Normal;Cover
116;1906;10229;20/9/2013 0:00;62;Balanced;;Little;40;Mixed;Organised;67;Risky;48;Normal;52;Normal;Organised;50;Medium;65;Press;59;Normal;Cover
117;1906;10229;19/9/2014 0:00;52;Balanced;38;Normal;46;Mixed;Organised;60;Normal;56;Normal;52;Normal;Free Form;50;Medium;61;Press;55;Normal;Cover
118;1906;10229;10/9/2015 0:00;50;Balanced;46;Normal;58;Mixed;Organised;67;Risky;56;Normal;50;Normal;Organised;50;Medium;61;Press;55;Normal;Cover
119;241;8634;22/2/2010 0:00;42;Balanced;;Little;30;Short;Free Form;65;Normal;40;Normal;70;Lots;Free Form;70;High;30;Contain;70;Wide;Offside Trap
120;241;8634;22/2/2011 0:00;43;Balanced;;Little;34;Mixed;Free Form;59;Normal;25;Little;68;Lots;Free Form;67;High;43;Press;68;Wide;Cover
121;241;8634;22/2/2012 0:00;24;Slow;;Little;25;Short;Free Form;37;Normal;24;Little;54;Normal;Free Form;66;Medium;63;Press;66;Normal;Cover
122;241;8634;20/9/2013 0:00;35;Balanced;;Little;32;Short;Free Form;37;Normal;31;Little;35;Normal;Free Form;61;Medium;63;Press;65;Normal;Cover
123;241;8634;19/9/2014 0:00;35;Balanced;35;Normal;32;Short;Free Form;37;Normal;31;Little;35;Normal;Free Form;61;Medium;63;Press;65;Normal;Cover
124;241;8634;10/9/2015 0:00;36;Balanced;35;Normal;51;Mixed;Free Form;36;Normal;49;Normal;56;Normal;Free Form;61;Medium;65;Press;65;Normal;Cover
125;1848;9976;22/2/2010 0:00;30;Slow;;Little;30;Short;Free Form;30;Safe;40;Normal;65;Normal;Organised;40;Medium;30;Contain;45;Normal;Offside Trap
126;1848;9976;22/2/2011 0:00;65;Balanced;;Little;35;Mixed;Free Form;65;Normal;63;Normal;65;Normal;Organised;55;Medium;45;Press;60;Normal;Offside Trap
127;1848;9976;22/2/2012 0:00;50;Balanced;;Little;50;Mixed;Organised;50;Normal;35;Normal;50;Normal;Organised;45;Medium;45;Press;50;Normal;Cover
128;1848;9976;20/9/2013 0:00;55;Balanced;;Little;57;Mixed;Organised;54;Normal;44;Normal;60;Normal;Organised;49;Medium;51;Press;61;Normal;Cover
129;1848;9976;19/9/2014 0:00;55;Balanced;40;Normal;57;Mixed;Organised;54;Normal;44;Normal;56;Normal;Organised;49;Medium;51;Press;53;Normal;Cover
130;1848;9976;10/9/2015 0:00;52;Balanced;40;Normal;65;Mixed;Organised;40;Normal;55;Normal;48;Normal;Organised;50;Medium;51;Press;55;Normal;Cover
131;896;9931;22/2/2010 0:00;40;Balanced;;Little;45;Mixed;Organised;50;Normal;65;Normal;50;Normal;Organised;60;Medium;60;Press;60;Normal;Cover
132;896;9931;22/2/2011 0:00;46;Balanced;;Little;40;Mixed;Organised;51;Normal;54;Normal;49;Normal;Organised;38;Medium;53;Press;55;Normal;Cover
133;896;9931;22/2/2012 0:00;61;Balanced;;Little;46;Mixed;Organised;66;Normal;66;Normal;54;Normal;Organised;47;Medium;58;Press;53;Normal;Cover
134;896;9931;20/9/2013 0:00;61;Balanced;;Little;46;Mixed;Organised;66;Normal;66;Normal;54;Normal;Organised;47;Medium;58;Press;53;Normal;Cover
135;896;9931;19/9/2014 0:00;61;Balanced;63;Normal;46;Mixed;Organised;66;Normal;66;Normal;54;Normal;Organised;47;Medium;58;Press;53;Normal;Cover
136;896;9931;10/9/2015 0:00;61;Balanced;63;Normal;46;Mixed;Organised;66;Normal;66;Normal;54;Normal;Organised;47;Medium;58;Press;53;Normal;Cover
137;32;8178;22/2/2010 0:00;70;Fast;;Little;30;Short;Organised;70;Risky;70;Lots;70;Lots;Organised;70;High;60;Press;70;Wide;Cover
138;32;8178;22/2/2011 0:00;67;Fast;;Little;38;Mixed;Organised;51;Normal;47;Normal;55;Normal;Organised;57;Medium;39;Press;51;Normal;Cover
139;32;8178;22/2/2012 0:00;58;Balanced;;Little;55;Mixed;Organised;52;Normal;55;Normal;56;Normal;Organised;50;Medium;42;Press;47;Normal;Cover
140;32;8178;20/9/2013 0:00;64;Balanced;;Little;55;Mixed;Organised;52;Normal;54;Normal;37;Normal;Organised;58;Medium;38;Press;47;Normal;Cover
141;32;8178;19/9/2014 0:00;69;Fast;30;Little;55;Mixed;Organised;52;Normal;55;Normal;39;Normal;Organised;50;Medium;46;Press;54;Normal;Cover
142;32;8178;10/9/2015 0:00;73;Fast;29;Little;55;Mixed;Organised;77;Risky;54;Normal;61;Normal;Organised;61;Medium;72;Double;50;Normal;Cover
143;21;9823;22/2/2010 0:00;65;Balanced;;Little;40;Mixed;Free Form;65;Normal;70;Lots;70;Lots;Free Form;70;High;40;Press;65;Normal;Cover
144;21;9823;22/2/2011 0:00;42;Balanced;;Little;40;Mixed;Organised;34;Normal;30;Little;72;Lots;Free Form;39;Medium;52;Press;65;Normal;Cover
145;21;9823;22/2/2012 0:00;47;Balanced;;Little;40;Mixed;Organised;34;Normal;31;Little;55;Normal;Organised;49;Medium;35;Press;50;Normal;Cover
146;21;9823;20/9/2013 0:00;56;Balanced;;Little;41;Mixed;Organised;40;Normal;44;Normal;39;Normal;Organised;52;Medium;54;Press;52;Normal;Cover
147;21;9823;19/9/2014 0:00;37;Balanced;34;Normal;22;Short;Free Form;21;Safe;38;Normal;40;Normal;Free Form;61;Medium;59;Press;40;Normal;Cover
148;21;9823;10/9/2015 0:00;45;Balanced;24;Little;28;Short;Free Form;37;Normal;31;Little;22;Little;Free Form;72;High;53;Press;59;Normal;Cover
149;675;9993;22/2/2010 0:00;35;Balanced;;Little;35;Mixed;Organised;45;Normal;40;Normal;50;Normal;Organised;70;High;70;Double;70;Wide;Cover
150;675;9993;22/2/2011 0:00;47;Balanced;;Little;37;Mixed;Organised;54;Normal;64;Normal;67;Lots;Organised;33;Deep;34;Press;48;Normal;Offside Trap
151;675;9993;22/2/2012 0:00;55;Balanced;;Little;55;Mixed;Organised;47;Normal;46;Normal;49;Normal;Organised;45;Medium;46;Press;50;Normal;Cover
152;675;9993;20/9/2013 0:00;47;Balanced;;Little;39;Mixed;Organised;38;Normal;64;Normal;49;Normal;Organised;45;Medium;46;Press;67;Wide;Cover
153;1897;10211;22/2/2011 0:00;48;Balanced;;Little;46;Mixed;Free Form;50;Normal;50;Normal;57;Normal;Organised;47;Medium;55;Press;53;Normal;Cover
154;1897;10211;22/2/2012 0:00;39;Balanced;;Little;48;Mixed;Organised;53;Normal;53;Normal;59;Normal;Organised;37;Medium;52;Press;61;Normal;Cover
155;1897;10211;20/9/2013 0:00;39;Balanced;;Little;48;Mixed;Organised;53;Normal;53;Normal;59;Normal;Organised;37;Medium;52;Press;61;Normal;Cover
156;1889;9807;22/2/2010 0:00;30;Slow;;Little;30;Short;Organised;55;Normal;45;Normal;60;Normal;Organised;30;Deep;30;Contain;30;Narrow;Offside Trap
157;1889;9807;19/9/2014 0:00;52;Balanced;53;Normal;52;Mixed;Organised;40;Normal;37;Normal;48;Normal;Organised;38;Medium;48;Press;49;Normal;Cover
158;1889;9807;10/9/2015 0:00;51;Balanced;53;Normal;52;Mixed;Organised;43;Normal;37;Normal;48;Normal;Organised;38;Medium;48;Press;49;Normal;Cover
159;1714;6493;22/2/2010 0:00;40;Balanced;;Little;50;Mixed;Organised;55;Normal;65;Normal;55;Normal;Organised;45;Medium;50;Press;55;Normal;Cover
160;1714;6493;22/2/2011 0:00;47;Balanced;;Little;54;Mixed;Organised;55;Normal;38;Normal;55;Normal;Organised;32;Deep;50;Press;56;Normal;Cover
